"No.","Time","Source","Destination","Protocol","Length","TCP Segment Len","Sequence number","Info"
"59","1.907489","169.1.2.4","169.1.3.2","UDP","2158","","1","49153  >  69 Len=2048"
"77","2.903036","169.1.2.4","169.1.3.2","UDP","2158","","3","49153  >  69 Len=2048"
"93","3.903033","169.1.2.4","169.1.3.2","UDP","2158","","4","49153  >  69 Len=2048"
"108","4.903032","169.1.2.4","169.1.3.2","UDP","2158","","5","49153  >  69 Len=2048"
"124","5.903029","169.1.2.4","169.1.3.2","UDP","2158","","6","49153  >  69 Len=2048"
"140","6.903035","169.1.2.4","169.1.3.2","UDP","2158","","7","49153  >  69 Len=2048"
"156","7.903032","169.1.2.4","169.1.3.2","UDP","2158","","8","49153  >  69 Len=2048"
"171","8.903031","169.1.2.4","169.1.3.2","UDP","2158","","9","49153  >  69 Len=2048"
"187","9.903028","169.1.2.4","169.1.3.2","UDP","2158","","10","49153  >  69 Len=2048"
"203","10.903034","169.1.2.4","169.1.3.2","UDP","2158","","11","49153  >  69 Len=2048"
"219","11.903031","169.1.2.4","169.1.3.2","UDP","2158","","12","49153  >  69 Len=2048"
"235","12.903028","169.1.2.4","169.1.3.2","UDP","2158","","13","49153  >  69 Len=2048"
"250","13.903036","169.1.2.4","169.1.3.2","UDP","2158","","14","49153  >  69 Len=2048"
"266","14.903033","169.1.2.4","169.1.3.2","UDP","2158","","15","49153  >  69 Len=2048"
"282","15.903030","169.1.2.4","169.1.3.2","UDP","2158","","16","49153  >  69 Len=2048"
"298","16.903036","169.1.2.4","169.1.3.2","UDP","2158","","17","49153  >  69 Len=2048"
"313","17.903035","169.1.2.4","169.1.3.2","UDP","2158","","18","49153  >  69 Len=2048"
"329","18.903032","169.1.2.4","169.1.3.2","UDP","2158","","19","49153  >  69 Len=2048"
"345","19.903029","169.1.2.4","169.1.3.2","UDP","2158","","20","49153  >  69 Len=2048"
"361","20.903035","169.1.2.4","169.1.3.2","UDP","2158","","21","49153  >  69 Len=2048"
"376","21.903034","169.1.2.4","169.1.3.2","UDP","2158","","22","49153  >  69 Len=2048"
"392","22.903031","169.1.2.4","169.1.3.2","UDP","2158","","23","49153  >  69 Len=2048"
"408","23.903028","169.1.2.4","169.1.3.2","UDP","2158","","24","49153  >  69 Len=2048"
"424","24.903034","169.1.2.4","169.1.3.2","UDP","2158","","25","49153  >  69 Len=2048"
"439","25.903033","169.1.2.4","169.1.3.2","UDP","2158","","26","49153  >  69 Len=2048"
"455","26.903030","169.1.2.4","169.1.3.2","UDP","2158","","27","49153  >  69 Len=2048"
"471","27.903036","169.1.2.4","169.1.3.2","UDP","2158","","28","49153  >  69 Len=2048"
"487","28.903033","169.1.2.4","169.1.3.2","UDP","2158","","29","49153  >  69 Len=2048"
"503","29.903030","169.1.2.4","169.1.3.2","UDP","2158","","30","49153  >  69 Len=2048"
"518","30.903029","169.1.2.4","169.1.3.2","UDP","2158","","31","49153  >  69 Len=2048"
"519","30.903398","169.1.2.4","169.1.3.2","UDP","2158","","31","49153  >  69 Len=2048"
"520","30.904010","169.1.2.4","169.1.3.2","UDP","2158","","31","49153  >  69 Len=2048"
"521","30.904550","169.1.2.4","169.1.3.2","UDP","2158","","31","49153  >  69 Len=2048"
"522","30.904874","169.1.2.4","169.1.3.2","UDP","2158","","31","49153  >  69 Len=2048"
"523","30.906251","169.1.2.4","169.1.3.2","UDP","2158","","31","49153  >  69 Len=2048"
"524","30.909995","169.1.2.4","169.1.3.2","UDP","2158","","31","49153  >  69 Len=2048"
"537","31.903035","169.1.2.4","169.1.3.2","UDP","2158","","32","49153  >  69 Len=2048"
"551","32.903032","169.1.2.4","169.1.3.2","UDP","2158","","33","49153  >  69 Len=2048"
"568","33.903029","169.1.2.4","169.1.3.2","UDP","2158","","34","49153  >  69 Len=2048"
"583","34.903028","169.1.2.4","169.1.3.2","UDP","2158","","35","49153  >  69 Len=2048"
"599","35.903034","169.1.2.4","169.1.3.2","UDP","2158","","36","49153  >  69 Len=2048"
"615","36.903031","169.1.2.4","169.1.3.2","UDP","2158","","37","49153  >  69 Len=2048"
"631","37.903028","169.1.2.4","169.1.3.2","UDP","2158","","38","49153  >  69 Len=2048"
"646","38.903036","169.1.2.4","169.1.3.2","UDP","2158","","39","49153  >  69 Len=2048"
"662","39.903033","169.1.2.4","169.1.3.2","UDP","2158","","40","49153  >  69 Len=2048"
"678","40.903030","169.1.2.4","169.1.3.2","UDP","2158","","41","49153  >  69 Len=2048"
"694","41.903036","169.1.2.4","169.1.3.2","UDP","2158","","42","49153  >  69 Len=2048"
"709","42.903035","169.1.2.4","169.1.3.2","UDP","2158","","43","49153  >  69 Len=2048"
"725","43.903032","169.1.2.4","169.1.3.2","UDP","2158","","44","49153  >  69 Len=2048"
"741","44.903029","169.1.2.4","169.1.3.2","UDP","2158","","45","49153  >  69 Len=2048"
"757","45.903035","169.1.2.4","169.1.3.2","UDP","2158","","46","49153  >  69 Len=2048"
"773","46.903032","169.1.2.4","169.1.3.2","UDP","2158","","47","49153  >  69 Len=2048"
"788","47.903031","169.1.2.4","169.1.3.2","UDP","2158","","48","49153  >  69 Len=2048"
"804","48.903028","169.1.2.4","169.1.3.2","UDP","2158","","49","49153  >  69 Len=2048"
"820","49.903034","169.1.2.4","169.1.3.2","UDP","2158","","50","49153  >  69 Len=2048"
"836","50.903031","169.1.2.4","169.1.3.2","UDP","2158","","51","49153  >  69 Len=2048"
"851","51.903030","169.1.2.4","169.1.3.2","UDP","2158","","52","49153  >  69 Len=2048"
"867","52.903036","169.1.2.4","169.1.3.2","UDP","2158","","53","49153  >  69 Len=2048"
"883","53.903033","169.1.2.4","169.1.3.2","UDP","2158","","54","49153  >  69 Len=2048"
"899","54.903030","169.1.2.4","169.1.3.2","UDP","2158","","55","49153  >  69 Len=2048"
"914","55.903029","169.1.2.4","169.1.3.2","UDP","2158","","56","49153  >  69 Len=2048"
"930","56.903035","169.1.2.4","169.1.3.2","UDP","2158","","57","49153  >  69 Len=2048"
"946","57.903032","169.1.2.4","169.1.3.2","UDP","2158","","58","49153  >  69 Len=2048"
"962","58.903029","169.1.2.4","169.1.3.2","UDP","2158","","59","49153  >  69 Len=2048"
"977","59.903028","169.1.2.4","169.1.3.2","UDP","2158","","60","49153  >  69 Len=2048"
"993","60.903034","169.1.2.4","169.1.3.2","UDP","2158","","61","49153  >  69 Len=2048"
"1009","61.903031","169.1.2.4","169.1.3.2","UDP","2158","","62","49153  >  69 Len=2048"
"1025","62.903028","169.1.2.4","169.1.3.2","UDP","2158","","63","49153  >  69 Len=2048"
"1041","63.903034","169.1.2.4","169.1.3.2","UDP","2158","","64","49153  >  69 Len=2048"
"1054","64.903033","169.1.2.4","169.1.3.2","UDP","2158","","65","49153  >  69 Len=2048"
"1066","65.903030","169.1.2.4","169.1.3.2","UDP","2158","","66","49153  >  69 Len=2048"
"1078","66.903036","169.1.2.4","169.1.3.2","UDP","2158","","67","49153  >  69 Len=2048"
"1090","67.903033","169.1.2.4","169.1.3.2","UDP","2158","","68","49153  >  69 Len=2048"
"1101","68.903032","169.1.2.4","169.1.3.2","UDP","2158","","69","49153  >  69 Len=2048"
"1113","69.903029","169.1.2.4","169.1.3.2","UDP","2158","","70","49153  >  69 Len=2048"
"1125","70.903035","169.1.2.4","169.1.3.2","UDP","2158","","71","49153  >  69 Len=2048"
"1137","71.903032","169.1.2.4","169.1.3.2","UDP","2158","","72","49153  >  69 Len=2048"
"1138","71.903302","169.1.2.4","169.1.3.2","UDP","2158","","72","49153  >  69 Len=2048"
"1139","71.903815","169.1.2.4","169.1.3.2","UDP","2158","","72","49153  >  69 Len=2048"
"1140","71.904481","169.1.2.4","169.1.3.2","UDP","2158","","72","49153  >  69 Len=2048"
"1141","71.905687","169.1.2.4","169.1.3.2","UDP","2158","","72","49153  >  69 Len=2048"
"1142","71.908900","169.1.2.4","169.1.3.2","UDP","2158","","72","49153  >  69 Len=2048"
"1143","71.917774","169.1.2.4","169.1.3.2","UDP","2158","","72","49153  >  69 Len=2048"
"1155","72.903031","169.1.2.4","169.1.3.2","UDP","2158","","73","49153  >  69 Len=2048"
"1167","73.903028","169.1.2.4","169.1.3.2","UDP","2158","","74","49153  >  69 Len=2048"
"1179","74.903034","169.1.2.4","169.1.3.2","UDP","2158","","75","49153  >  69 Len=2048"
"1191","75.903031","169.1.2.4","169.1.3.2","UDP","2158","","76","49153  >  69 Len=2048"
"1203","76.903028","169.1.2.4","169.1.3.2","UDP","2158","","77","49153  >  69 Len=2048"
"1214","77.903036","169.1.2.4","169.1.3.2","UDP","2158","","78","49153  >  69 Len=2048"
"1226","78.903033","169.1.2.4","169.1.3.2","UDP","2158","","79","49153  >  69 Len=2048"
"1238","79.903030","169.1.2.4","169.1.3.2","UDP","2158","","80","49153  >  69 Len=2048"
"1250","80.903036","169.1.2.4","169.1.3.2","UDP","2158","","81","49153  >  69 Len=2048"
"1261","81.903035","169.1.2.4","169.1.3.2","UDP","2158","","82","49153  >  69 Len=2048"
"1273","82.903032","169.1.2.4","169.1.3.2","UDP","2158","","83","49153  >  69 Len=2048"
"1285","83.903029","169.1.2.4","169.1.3.2","UDP","2158","","84","49153  >  69 Len=2048"
"1297","84.903035","169.1.2.4","169.1.3.2","UDP","2158","","85","49153  >  69 Len=2048"
"1308","85.903034","169.1.2.4","169.1.3.2","UDP","2158","","86","49153  >  69 Len=2048"
"1320","86.903031","169.1.2.4","169.1.3.2","UDP","2158","","87","49153  >  69 Len=2048"
"1332","87.903028","169.1.2.4","169.1.3.2","UDP","2158","","88","49153  >  69 Len=2048"
"1344","88.903034","169.1.2.4","169.1.3.2","UDP","2158","","89","49153  >  69 Len=2048"
"1355","89.903033","169.1.2.4","169.1.3.2","UDP","2158","","90","49153  >  69 Len=2048"
"1367","90.903030","169.1.2.4","169.1.3.2","UDP","2158","","91","49153  >  69 Len=2048"
"1379","91.903036","169.1.2.4","169.1.3.2","UDP","2158","","92","49153  >  69 Len=2048"
"1391","92.903033","169.1.2.4","169.1.3.2","UDP","2158","","93","49153  >  69 Len=2048"
"1403","93.903030","169.1.2.4","169.1.3.2","UDP","2158","","94","49153  >  69 Len=2048"
"1414","94.903029","169.1.2.4","169.1.3.2","UDP","2158","","95","49153  >  69 Len=2048"
"1426","95.903035","169.1.2.4","169.1.3.2","UDP","2158","","96","49153  >  69 Len=2048"
"1438","96.903032","169.1.2.4","169.1.3.2","UDP","2158","","97","49153  >  69 Len=2048"
"1450","97.903029","169.1.2.4","169.1.3.2","UDP","2158","","98","49153  >  69 Len=2048"
"1461","98.903028","169.1.2.4","169.1.3.2","UDP","2158","","99","49153  >  69 Len=2048"
